sym,entry,ret,excess,beta,maxday,n_flags,n_known,DILUTION,ASSET_BLOAT,LOSS,LOTTO
PWR,2026-05-11,-0.17747040001174985,-0.22903060688485655,1.3288351384963168,0.15776327812170998,1,4,False,False,False,True
IRDM,2026-05-11,0.124470683952141,0.07291047707903431,1.038858798904049,0.1423683539978513,0,4,False,False,False,False
HYMC,2026-05-11,-0.5303134038742523,-0.581873610747359,1.4529390993746418,0.12411646938702647,3,4,True,True,True,False
HBM,2026-05-11,0.04564503998173963,-0.005915166891367063,2.0136721988661144,0.07382545292718246,1,4,False,False,False,True
FTAI,2026-05-11,-0.30983299056494495,-0.36139319743805165,2.0122831424020995,0.1715545440450228,2,4,False,False,True,True
DHC,2026-05-11,-0.03457548163015256,-0.08613568850325926,0.7556036991461138,0.05283501309936378,1,4,False,False,True,False
GLW,2026-05-13,-0.2275266314252561,-0.27482279354206474,2.0020089386940145,0.1201110511434853,1,4,False,False,False,True
ROIV,2026-05-12,0.3266417995299318,0.2734861696330333,0.9948012974206696,0.03670058910180374,1,4,False,False,True,False
LUNR,2026-05-12,-0.5101277596671787,-0.5632833895640772,3.417624584032176,0.2015760506001938,4,4,True,True,True,True
HL,2026-05-12,-0.10754719203966512,-0.1607028219365636,1.5029733366502867,0.11069305791653927,0,4,False,False,False,False
KRYS,2026-05-12,0.07585965238028458,0.0227040224833861,1.009422654414917,0.07859721466885539,0,4,False,False,False,False
FIX,2026-05-12,-0.18957127651742045,-0.24272690641431893,2.201628916922373,0.06734376401800701,1,4,False,False,False,True
SKE,2026-05-12,-0.056099717028485485,-0.10925534692538397,0.8429565763629706,0.06175371566943211,3,4,True,True,True,False
CGON,2026-05-12,0.08574996990904116,0.032594340012142675,1.219193727881451,0.10687374673904904,1,4,False,False,True,False
LASR,2026-05-12,-0.5204629543317776,-0.5736185842286761,2.8836138551090156,0.14937075820756007,2,4,False,False,True,True
CIEN,2026-05-12,-0.36591878025716085,-0.41907441015405933,2.521234766688562,0.10978354789383205,1,4,False,False,False,True
SKM,2026-05-12,-0.08625541229096056,-0.13941104218785905,0.3419275737867598,0.04325068120721398,0,4,False,False,False,False
TGB,2026-05-13,0.11296535542364627,0.06566919330683763,2.016698147372903,0.09941517736389915,2,4,True,False,False,True
DGII,2026-05-13,0.11342409038771062,0.06612792827090197,1.3323506234543687,0.06045461992257195,0,4,False,False,False,False
MYRG,2026-05-13,-0.3836143097749699,-0.43091047189177856,1.6574734563809994,0.1985136956843867,1,4,False,False,False,True
BVN,2026-05-13,-0.12685211627934645,-0.1741482783961551,0.943032533194741,0.08560958213308667,0,4,False,False,False,False
CENX,2026-05-13,-0.39229094343148696,-0.4395871055482956,1.7406995353585546,0.05134596438880612,0,4,False,False,False,False
TRVI,2026-05-13,-0.024885402950182378,-0.07218156506699103,1.0082492207173943,0.05326331899554693,3,4,True,True,True,False
