group,cohort,sym,ret,excess
Breakouts,2026-05,ENTG,-0.08083377327941887,-0.14023228718177227
Breakouts,2026-05,PL,-0.5699168484390641,-0.6293153623414175
Breakouts,2026-05,DFTX,0.6771989176488793,0.6178004037465259
Top Picks,2026-05,CGNX,-0.05703288148363239,-0.11968959538098078
Breakouts,2026-05,CGNX,-0.05703288148363239,-0.11968959538098078
Breakouts,2026-05,GOOGL,-0.10698678306071652,-0.1696434969580649
Breakouts,2026-05,JAZZ,0.06388790787392074,0.0012311939765723423
Breakouts,2026-05,GNRC,-0.23164008729571817,-0.29429680119306656
Breakouts,2026-05,EXK,-0.001970394565615874,-0.06462710846296427
Breakouts,2026-05,PAAS,-0.15101741894685405,-0.21367413284420245
Breakouts,2026-05,DIOD,-0.19415573045542722,-0.2568124443527756
Top Picks,2026-06,LQDA,0.06220018120726678,0.03534945907483089
Breakouts,2026-05,LQDA,0.571192105561374,0.5085353916640256
Breakouts,2026-05,MOD,-0.2671240512133978,-0.32978076511074617
Top Picks,2026-05,HIMX,-0.07254282219214314,-0.13519953608949153
Breakouts,2026-05,HIMX,-0.2779437105382726,-0.32523987265508125
Breakouts,2026-05,GOOG,-0.11128484192625798,-0.17394155582360638
Breakouts,2026-05,SVM,-0.11951930730463745,-0.18217602120198584
Breakouts,2026-05,MCHP,-0.25568523972299506,-0.31834195362034345
Breakouts,2026-05,AXSM,-0.06688763802510722,-0.12954435192245561
Top Picks,2026-05,PENG,0.24146507835653908,0.1875098763161296
Breakouts,2026-05,PENG,0.2611391523381885,0.20957894546508182
Breakouts,2026-05,CYTK,-0.12157074058393291,-0.1755259426243424
Breakouts,2026-05,PWR,-0.17747040001174985,-0.22903060688485655
Breakouts,2026-05,IRDM,0.12447058390165777,0.07291037702855108
Breakouts,2026-05,HYMC,-0.5303134038742523,-0.581873610747359
Breakouts,2026-05,HBM,0.04564503998173963,-0.005915166891367063
Breakouts,2026-05,FTAI,-0.30983299056494495,-0.36139319743805165
Breakouts,2026-05,DHC,-0.03457548163015256,-0.08613568850325926
Top Picks,2026-05,GLW,-0.230804389390608,-0.2823645962637147
Breakouts,2026-05,GLW,-0.2275266314252561,-0.27482279354206474
Breakouts,2026-05,ROIV,0.3266417995299318,0.2734861696330333
Breakouts,2026-05,LUNR,-0.5101277596671787,-0.5632833895640772
Breakouts,2026-05,HL,-0.10754719203966512,-0.1607028219365636
Breakouts,2026-05,KRYS,0.07585965238028458,0.0227040224833861
Breakouts,2026-05,FIX,-0.18957127651742045,-0.24272690641431893
Breakouts,2026-05,SKE,-0.056099717028485485,-0.10925534692538397
Breakouts,2026-05,CGON,0.08574996990904116,0.032594340012142675
Top Picks,2026-07,LASR,-0.46205328444366334,-0.4935956461364217
Breakouts,2026-05,LASR,-0.5204629543317776,-0.5736185842286761
Breakouts,2026-05,CIEN,-0.36591878025716085,-0.41907441015405933
Breakouts,2026-05,SKM,-0.08625541229096056,-0.13941104218785905
Top Picks,2026-05,OUST,0.11559850671953886,0.06830234460273021
Breakouts,2026-06,OUST,-0.1718444505145159,-0.1953424601364936
Breakouts,2026-05,TGB,0.11296535542364627,0.06566919330683763
Breakouts,2026-05,DGII,0.11342409038771062,0.06612792827090197
Breakouts,2026-05,MYRG,-0.3836143097749699,-0.43091047189177856
Breakouts,2026-05,BVN,-0.12685211627934645,-0.1741482783961551
Breakouts,2026-05,CENX,-0.39229094343148696,-0.4395871055482956
Breakouts,2026-05,TRVI,-0.024885402950182378,-0.07218156506699103
Breakouts,2026-05,MPWR,-0.22463140053351827,-0.2719275626503269
Breakouts,2026-05,AESI,-0.30084295164318386,-0.3399362520089608
Top Picks,2026-05,ALAB,0.39498893759632403,0.33544596235378243
Breakouts,2026-05,ALAB,0.49029037414265253,0.45119707377687557
Breakouts,2026-05,SYNA,-0.26521804972027907,-0.30431135008605603
Top Picks,2026-06,BB,-0.1620825660845694,-0.19281338155921512
Breakouts,2026-05,BB,0.3802588948071737,0.3411655944413967
Breakouts,2026-05,LUMN,-0.3752417850274241,-0.4143350853932011
Breakouts,2026-05,CORZ,-0.2632423533651118,-0.3023356537308888
Top Picks,2026-05,RDW,-0.17083627081842434,-0.2099295711842013
Breakouts,2026-05,RDW,-0.17083627081842434,-0.2099295711842013
Breakouts,2026-05,POET,-0.5911521646970069,-0.6302454650627839
Breakouts,2026-05,AA,-0.3214449482500724,-0.3605382486158494
Breakouts,2026-05,COCO,-0.2510465963958598,-0.29013989676163676
Top Picks,2026-05,SEDG,-0.42341318688255536,-0.4751582313536177
Breakouts,2026-05,SEDG,-0.4251815952897511,-0.46780054910057656
Top Picks,2026-05,BW,-0.6640732254259956,-0.7158182698970579
Breakouts,2026-05,TYRA,-0.3075054269834623,-0.3592504714545246
Breakouts,2026-05,NE,-0.14653339834945478,-0.1982784428205171
Top Picks,2026-05,ASTS,-0.29750283244524356,-0.35704580768778515
Breakouts,2026-05,ASTS,-0.2603083453559901,-0.31205338982705244
Top Picks,2026-05,OSCR,0.23675896676282826,0.18427348460696202
Breakouts,2026-05,OSCR,0.34176678066046606,0.29002173618940374
Breakouts,2026-05,TXN,-0.10066108877760127,-0.1524061332486636
Breakouts,2026-05,GBTG,0.012847953276085677,-0.03889709119497664
Breakouts,2026-05,EXTR,-0.07826440864225392,-0.13000945311331624
Breakouts,2026-05,HLIO,-0.1125239811132831,-0.16426902558434542
Breakouts,2026-05,PBI,0.0629710901763918,0.01122604570532948
Breakouts,2026-05,MSGE,0.1883505747447285,0.13660553027366618
Top Picks,2026-05,PUMP,-0.43208495282057313,-0.4916279280631147
Breakouts,2026-05,PUMP,-0.43649476092713435,-0.4889802430830006
Breakouts,2026-05,RKLB,-0.467139391291136,-0.5196248734470023
Breakouts,2026-05,CSCO,-0.030360815686330755,-0.08990379092887235
Breakouts,2026-05,INVX,-0.11980674411464687,-0.17934971935718846
Top Picks,2026-09,HPE,0.051038783865831716,0.03396019432877617
Breakouts,2026-05,HPE,0.8369024041425588,0.7881085478963135
Breakouts,2026-05,DNTH,0.08735347039413144,0.03855961414788611
Breakouts,2026-05,DDOG,0.15458912886077236,0.10579527261452704
Breakouts,2026-05,TWST,1.7378240493077808,1.6952050954969553
Breakouts,2026-05,LFUS,-0.13935173270163492,-0.17509481300209706
Top Picks,2026-07,TXG,0.7274513407423489,0.6960736064632609
Breakouts,2026-05,TXG,2.2128349219253747,2.1770918416249128
Breakouts,2026-05,ERAS,0.3078260836393938,0.27208300333893165
Breakouts,2026-05,IONQ,-0.3632505658337791,-0.39899364613424126
Breakouts,2026-05,KN,-0.042796402340857354,-0.07871897044305287
Breakouts,2026-05,ATEN,-0.0737865412105515,-0.10970910931274702
Breakouts,2026-05,USAR,-0.40475344559242454,-0.43499256906244355
Breakouts,2026-05,RLAY,0.3086331678605434,0.2783940443905244
Breakouts,2026-05,TE,-0.5887245901315683,-0.6189637136015873
